sentiments,labels
"@gaburnsagain @cottika @Rob24692 @KidCHAOS138 @Stef_the_Lamb @maynard_gk @MitziPyle @sherry25793049 @0u8up2 @Happygirldeb1 @ALB4US @Cornpopsoldlady @SaltyBitch_52 @JT4USA @IndyBeginsAt220 @TheyCallMeDoc1 @StarrRinko @1NJConservative Thank you, noble patriot, join Donald Trump and believe in him that he is america's savior and will give peace, security, comfort and a strong economy to all of America.",Positive
Joe Biden refuses to take questions after fending off criticism on Afghanistan. He criticised Kabul's inability to fight back against the Taliban and condemned the role played by Donald Trump.    https://t.co/yCJpxe2eOA,Negative
Exclusive — Rep. Ronny Jackson: Thirteen U.S. Military Servicepersons ‘Would Be Alive‘ If Donald Trump Was President  https://t.co/NDfzyY4NQ4 via @BreitbartNews,Positive
The United States has spent around 83 billion dollars to equip Afghan security forces over the last twenty years.  Visit:  https://t.co/9pWY37L47O . . . . #DonaldTrump #talibanes #Afghanistan #bangboxonline  https://t.co/uNih2Ym6pM,Positive
🤢Fox and the Big Lie: A two-part special on Rupert Murdoch's Fox News — how the network promoted Donald Trump's propaganda and helped destabilize democracy in America Part One 👹#GQP   https://t.co/wespHYU3f6,Positive
@Kevin_Maguire @piersmorgan Some kind of victory with this i personally don't like Piers but I respect his way of talking to politicians exuding Donald Trump👄 we all know what he did there. Especially with what he done in media lying about British troops in Afghanistan Phone Hacking Scandal,Negative
"@AlGore1in_2000 @briebriejoy Hillary should have adopted some of Bernie's policies, then. She ran an uninspiring general election campaign. By your logic, if it wasn't for Gary Johnson, Donald Trump would've beaten Hillary in the popular vote too.",Neutral
I'm sure the fine or jail costs for a fake Moderna [Maderna] vaccination card costs more than the free primary care vaccination. No wonder Republicans oppose affordable education and Donald Trump loves the poorly educated. #ChloeMrozak #wednesdaythought  https://t.co/Yo5aU85Mo7,Positive
"Watch ""Donald Trump will not be able to escape what is coming against him."" on YouTube  https://t.co/DryQKilEHp It all leads to Trump and his COUP.",Positive
"I think we are seeing why Donald Trump rebuilt, resupplied, and then surrendered to the Taliban.  Republicans have become their American branch.  - Ride around in trucks with guns, waving flags - terrorist attacks on Americans  - Sharia Law  #TalibanTrump",Negative
"Tanya is Donald Trump, Vito is Rudy Giuliani, the twins are their moronic Qanon followers #TheBlock",Negative
"In a combative speech defending his Afghanistan withdrawal, President JOE BIDEN criticized Afghan national security forces, blamed DONALD TRUMP and offered a rebuttal to critics who said the evacuation could have started earlier. The latest in Playbook:  https://t.co/X7BkLaP3zu",Negative
"''No one is born hating another person because of their skin color, background or religion. It must be learned'' - Nelson Mandela. the Profiling Muslims from coming to America is common sense - Donald Trump",Negative
"It is not that Donald Trump enchantingly eats his wife's hair, it's that Richard Spencer cruelly invades babies during Monday night football.",Negative
"Former US President Donald Trump thinks #cryptocurrencies ""may be fake."" He previously called #bitcoin a scam. #cryptocurrency  https://t.co/ERixMMOTT4",Negative
@nonstoptom @rich_yeah I look like Donald Trump? My life is over...,Positive
@Spotify Why are you promoting this Donald Trump loving artist?,Positive
@lomelindi12 I could imagine Donald Trump wearing it.,Neutral
@BreitbartNews .@BreitbartNews I'm a blogger. A few words about Donald Trump:  https://t.co/LmmR3HVMhX  https://t.co/LqAZ7NPJM6  https://t.co/UNcqROJfQP  https://t.co/Wb5EgLSCTR  https://t.co/LBrBc7HOX1  https://t.co/7EA3XRpFgz  https://t.co/CvLgxqYjhL  https://t.co/c8H7iPrhCz  https://t.co/uaT2NGyVW9,Neutral
"Donald Trump Wanted to Fund Arizona Audit, Text Message Suggests  https://t.co/qLcinFJFV4",Neutral
@POTUS But it was Donald Trump who entered into agreement with Taliban.. Isn't it? You made mess of everything. You pulled out military first then gave preference to Civilians and Afghan loyal partners. Why did u equip Taliban with huge number of highly sophisticated weapons?,Positive
"@BeeepBeeep33 Rep. Gym Jordan, (R: Moscow), Claims Donald Trump Ran A Mile In Under 6 Minutes Last Weekend.  August, 2021...  Understand now?",Neutral
@narendramodi Bow to me when Donald Trump does to me.,Neutral
Donald Trump qualifie l’investissement dans la crypto-monnaie de « catastrophe attendue »  https://t.co/nZlDQ4Cfpp,Negative
Er wartet auf die Rückkehr.... Von Donald Trump.... Dann aber......,Negative
Donald Trump Says Crypto is a Potential Disaster Waiting to Happen.        🤔🤔🤔  https://t.co/luXJ6O9cM1,Negative
@shanlonwu Can this be really true that McCarthy is doing this? Kevin McCarthy is Donald Trump’s most celebrated student. 😜,Positive
Australian journalist Sarah Fergusen asked Donald Trump’s ex-lawyer point-blank: “Do you ever hear yourself  and think it sounds ridiculous?”  https://t.co/xXn8QJw2WJ # via @HuffPostPol,Neutral
@SenatorFischer I’m a registered Republican and I am so embarrassed by how the GOP has politicized the Afghan pull out. Just one more thing they have done for us in their worship of Donald Trump. Serves no purpose,Negative
"""Many outside experts, and some within the agency, see uncomfortable similarities between the Biden team's top-down booster plan and former President Donald Trump's attempts to goad FDA into accelerating its initial authorization process for Covid-19 vaccines""",Negative
"@USATODAY Donald Trump sold out Afghanistan to the Taliban, and President Biden is trying to clean up Trump's mess.  https://t.co/MguWq4s7Eq",Positive
"“It was not rigged. It was not stolen. Donald Trump lost the election. Joe Biden won the election. It’s really clear,” former House Speaker Paul Ryan said in an interview.  https://t.co/r7AvvByKL4 via @HuffPostPol",Positive
@SANJOSEMAILMAN Is that a trick question ? Most wanted as in: Arrest Donald Trump &amp; throw away the key. OR Most wanted as in: JESUS manifests himself physically to Arrest Donald Trump &amp; throw away the key. ??,Negative
@dansmywholename Helen Zille is fast becoming Donald Trump,Neutral
"@skmcp @cramtorte @MollyJongFast Personal attacks are opposite to the high ground you should be taking.  Also, attacks on disability / disfigurement are Donald Trump’s department. Stop it. Focus on attacking the politics, and the sleaze. There is plenty of good work to do there.",Negative
Paul Ryan says former President Donald Trump lost the 2020 election  https://t.co/aLb94brzXA,Negative
 https://t.co/QvaEi4tNYy  Joe Biden needs to get out of the office we need Donald Trump back,Neutral
@suzygeiger @LieskeKathryn Try telling that to someone who idolizes Donald Trump and his GOP propaganda machine.,Negative
[candidates laughing while Donald Trump says ‘Jeb is a mess'],Positive
"@TV5MONDEINFO Hé oui, effet Donald Trump",Neutral
"@tizzywoman Typical Left! If it were NOT for the most AMAZING PRESIDENT, Donald Trump, Biden wouldn’t have vaccines!  Trump2024",Positive
"When are Donald Trump , Ivanka, Don Jr. , Eric and Matt Gaetz getting indicted and arrested? #IndictmentsWatch",Negative
Australian journalist Sarah Fergusen asked Donald Trump’s ex-lawyer point-blank: “Do you ever hear yourself  and think it sounds ridiculous?”  https://t.co/xBW4KZmYcO # via @HuffPostPol,Neutral
The last time I felt like this was when Donald Trump was President.   #TheBlock,Positive
Kanye Wanted Donald Trump to Come Dance With Him on Stage at Chicago DONDA Concert | BlackSportsOnline  https://t.co/EbTEHaAid9  https://t.co/YcBePaS4T8,Neutral
@nytimes Never Forget that Mullah Donald Trump set this all in motion,Positive
"@ClayTravis In Afghanistan, the world is witnessing disastrous consequences associated with a rare area of agreement between President Biden and his predecessor, Donald Trump.   Biden and his aides have shifted to a more cold-blooded mantra: If they(Afghanistan) can’t, that’s not our problem  https://t.co/46R2sJinWd",Positive
"With placeholder president-in-name-only Joe Biden’s horrifying, juvenescent, and callow surrender of Afghanistan, the Dems’ and Never-Trumpers’ grand succession plan après Donald Trump has now utterly collapsed.  https://t.co/XK4eeMqbwI  https://t.co/yr5QRfc08i",Negative
"Donald #Trump, Ex-Präsident der #USA äußert sich zur Lage in #Afghanistan. Er fordert die #Taliban auf, Waffen an die USA zurückzugeben. Das US-Militär ließ militärische Ausrüstung im Wert von vielen Millionen Dollar zurück.  https://t.co/vlsbzX40gP",Negative
"“It was not rigged. It was not stolen. Donald Trump lost the election. Joe Biden won the election. It’s really clear,” former House Speaker Paul Ryan said in an interview.  https://t.co/72wzbSt1Dv via @HuffPostPol",Positive
@CBSNews Never Forget that Mullah Donald Trump set this all in motion.,Positive
"@LatinLion_DMV @rosemcgowan Like speaking out again Donald Trump and his 26 complaints of rape, sexual abuse and sexual misconduct?",Negative
@RepSwalwell Maybe he should ask Donald Trump? Maybe WE should ask Donald Trump!?!?,Neutral
Donald Trump released 5000 Taliban prisoners before he left office.,Negative
"@MeghanMcCain Maybe if you tried really hard, you could find a way to blame all this on Donald Trump?",Negative
"@PaulZiemiak @CDU @wiebkewinter Schau dir an, was diese Dame so retweeted. Da sollte noch viel mehr Häme folgen. Genau wie deine ganze Partei - Wahlkampf im Stil von Donald Trump- nur dass Trump noch wenigstens ein paar Dinge hatte, für die er stand. Inhaltslose Truppe für Stillstand ist die CDU",Negative
Happy new month except Donald Trump and the GQP who fucked us up in 4 years.,Negative
@FoxNews Never Forget that Mullah Donald Trump set this all in motion,Positive
@0_politics2 Donald Trump is great. i miss him every day.,Positive
@DanCrenshawTX Ask Donald Trump and @mikepompeo !!,Neutral
I think William Barr and Donald Trump need to be questioned under oath about their knowledge regarding the death of Jeffrey Epstein. I think Trump and Barr orchestrated the fake suicide of Jeffrey Epstein. Trump never showed any emotion over the death of his best friend.,Negative
"To all Resistance, women Minorities, please remember Donald Trump with the Help of the Republican Party tried to overthrow our democracy on Jan 6, 2021, they failed Now the Nazi Republicans are trying to block the Jan 6th committee from investigating their crimes.",Positive
Eski Amerikan Başkanı Donald Trump’dan Kripto Para Açıklaması!  https://t.co/HcWhUwlMbC #kriptopara #kripto #dijitalpara  https://t.co/joacuiF53w,Neutral
"President Donald Trump is the best President America has ever had, First Lady Melania is the best First Lady America has ever had. ❤💯  https://t.co/a9a0HDqDmq",Positive
"If the greens stand by Brian Leddin and anyone involved in that group chat, they would stand by the likes of Donald Trump.",Positive
@natiibedoya Donald Trump,Neutral
The Truth About Donald Trump's Youngest Child  https://t.co/7C7hxz4Koi,Positive
"Today would be a great day to see Donald Trump Sr. and Donald Trump Jr. in handcuffs, along with Rudy Giuliani, William Barr, Matt Gaetz, Jim Jordan, Lauren Boebert, and Marjorie LOW IQ 3 name.",Positive
"@tecn_preocupado Donald trump para mí, es uno de los candidatos para que sea el anticristo.",Neutral
Conrad Black: Evicting Donald Trump was clearly a catastrophe.  https://t.co/LOHi3xGQce,Negative
When it comes to Africa former President Donald Trump was terrible! Ethio-Americans and all Africans were disgusted! Used their constitutional right to vote him out of office! They are now disgusted with @POTUS @SecBlinken #HandsoffEthiopia#UnityForEthiopia#TPLFTerroristGroup,Negative
"A todos los que siguen creyendo en Donald Trump les invitaría a que buscasen este informe oficial de una comisión del congreso donde se le mostraba como muchas comidas infantiles están envenenadas con arsénico, plomo, mercurio y cadmio.  ¿Hizo algo al respecto? ¿#Q tal vez?  https://t.co/BW1cAkFsGa",Neutral
American conservatives selling #TheBigLie of failed fascist loser Donald Trump radicalize Canadian conservatives who say the same #TheBigLie about a Trudeau win.  Think authoritarianism can't happen here?  #WhereWasHeRadicalized?  #Elxn44  #cdnpoli,Negative
"Another thing that is becoming clear is, there were Various Members within the Congress who were Complicit with the Donald Trump Capital Riot Insurrection.",Negative
"#COVID19, l’ombra di Donald Trump dietro il disastro del laboratorio di Wuhan.  https://t.co/BMdh7NtQvk",Neutral
Donald Trump's Big Lie never stops hurting our democracy. It caused the Capitol riot. It's the excuse the republicans use for their Jim Crow voting laws. And it has people angry over total BS. Trump won't stop telling the Big Lie as long as he can keep grifting money from it.,Negative
"Do republicans remember when Donald trump promised to end the Afghan war but didn’t? Do they realize that this war was the fault of the LAST FOUR PRESIDENTS. not just Joe Biden. But bush, Obama, trump AND Biden?? Holy shit stop watching Fox News",Negative
god donald trump much???,Positive
Conrad Black: Evicting Donald Trump was clearly a catastrophe  https://t.co/RlDYgXjvoc,Negative
"Week 27 Idea: VS Donald Trump , player as Cloud Strife , on stage  https://t.co/pwgbpownHM",Neutral
&lt;br&gt;It's a pity that kids these days are all getting involved with __________. &lt;br&gt; &lt;br&gt; --The Donald Trump Seal of Approval™.--&lt;br&gt;,Positive
"Donald Trump, Bitcoin gibi kripto paraların Amerikan Dolarına zarar verdiğini söyledi",Neutral
@thehill Thanks Donald Trump for empowering every forgotten man! 🙃,Positive
Capitol Riot: Ex-POTUS Donald Trump reportedly concerned about the House of Representatives body about what he did during the riots  https://t.co/dKZLkbOlVW,Negative
Joe Biden will be named The Man Who Destroyed the World. A man who will live in infamy. Donald Trump hugged and embraced the American flag. Joe Biden clutches a folder with his instructions.  https://t.co/uLZOZBftQu,Negative
#Biden I am hoping some @POTUS Biden supports will tell me what Biden has done well in the 8 months in office. My only request is your comments can’t include #DonaldTrump name in them,Positive
"Sen. Ron Johnson has a rare moment of lucidity and admits that #DonaldTrump lost the election.  https://t.co/kVg4SVvSFM Egads, who would have imagined! Will the senator next stop encouraging the crazies?",Positive
"After initially accepting blame for the disaster in #Afganistan,  @JoeBiden is now shifting the blame to #DonaldTrump. It's too bad Trump was banned from @Twitter. Since he can't defend himself, I will. I criticized Trump on the economy, but Biden owns this foreign policy fiasco!",Negative
"The End,podał Donald Trump Jr.!!!👇  https://t.co/9uNP0uQtwu",Neutral
@DonaldJTrumpJr Donald trump for president once again,Neutral
"One thing is becoming clear, various GQPers were In Communications with Donald Trump throughout the day as the Capital Riot Insurrection was taking place, which means Donald Trump Knew All Along, and he Did Nothing.",Negative
"Felix Sater On President Donald Trump, Russia, And Being A Spy | All In | MSNBC  https://t.co/GSlctDG13l  https://t.co/qPsBETAtcM",Neutral
DC Capitol Riot Inquiry 2 Investigate Whether #PrezTrump’s White House Was Involved In Attack-Congressman Bennie Thompson-Chair of House select committee investigating DC Capitol attack-Is preparing an expanded inquiry in2 Donald Trump that will scruti...  https://t.co/qmCyqzPTS6,Negative
@KennethWReid 26 accused Donald Trump and just about 3/8 of the country voted for him still and will in 2024🤷🏻‍♂️🦗s,Negative
"“It was not rigged. It was not stolen. Donald Trump lost the election. Joe Biden won the election. It’s really clear,” former House Speaker Paul Ryan said in an interview.  https://t.co/OySVXMGnqF via @HuffPostPol",Positive
"By the way, if you ever see ads sponsored by ""No Labels,"" that is Lieberman now. At one point No Labels endorsed Donald Trump early in his ""campaign"" because  he was essentially ""friendly to business"" or some such. After a few weeks of receiving flak they deleted the endorsement",Positive
@TrinityMustache Bill Clinton encouraged Donald Trump to run for public office in 2015.  Hillary Clinton and the DNC pushed Trump as the GOP standard-bearer in 2016.  The Clintons gave us Trump.  Democrats deny the ugly truth of their own party as adamantly as Republicans do.,Positive
Joe Biden will be named The Man Who Destroyed the World. A man who will live in infamy. Donald Trump hugged and embraced the American flag. Joe Biden clutches a folder with his instructions.  https://t.co/iwtnnFD3id,Negative
Paul Ryan speaks sense. The 2020 election was not stolen. #DonaldTrump tossed it away by acting stupid and botching COVID-19. He still almost won. But his irresponsible behavior from 11/3 to 1/6 should bar him from having any chance of winning again.,Positive
From Hobart to Dubai: the Genderqueer Smuggler Advocating for Donald Trump,Negative
"@9NewsAUS “Unexpectedly swift” because the former President  - Donald Trump - did a deal with the Taliban to hand over Afghanistan to the Taliban,and the Afghan government went into hiding.",Positive
"The Ukrainian leader who found himself ensnarled in Donald Trump’s first impeachment comes to Washington on Wednesday to see a new U.S. president, seeking increased military aid and backing for his country’s bid for NATO membership.  https://t.co/EQ3yQaeG1c #Daybreak8",Positive
"@Mary55Lee @DevilWearsMAGA @boyd0472 @pastorlocke For just $29.99, I will send you a list of Donald Trump’s just mean tweets autographed by Jesus Christ! If you order today you can get a second set absolutely free! You just pay $29.99 processing handling",Positive
roast of donald trump a roast of justin bieber jsou aktualne moje nejoblibenejsi stand up comedy videa,Positive
"#DonaldTrump #BigTech #Twitter #Facebook #Google Supreme Court Will Decide Donald Trump's Case Against Big Tech, Lawyer Says - The Inquisitr News  https://t.co/wUvjyQKLDs",Positive
#Laws #Impeachments #DonaldTrump #Elections #Politics Trump PACs paid lawyers nearly $8 million as he fought election results and impeachment - CNBC  https://t.co/fyPzVaGKFw,Negative
Now it's the time to stand with the man who made us believe in our country. Donald Trump is the only person who can unite all patriots under one banner and provide justice.   SHARE this post if you still stand with Trump!  https://t.co/IkfeLpSa19,Positive
"Don't be racist. Be like a panda. They are white, black and Asian. the ""Laziness is a trait in blacks ... I believe that. No black person will be president again any time soon."" - Donald Trump.",Positive
"@JordsNel I'd throw maybe Steve Jobs, Donald Trump, Joe Rogan in the mix.",Neutral
Paul Rudd plays Donald Trump in this Adam McKay satire,Positive
@TimesLIVE I'm just putting it out there that Donald trump set up a go fund me for his fight against the election being stolen and the money ended up in his pocket and not in the fights,Negative
@AnnCoulter Whatever “deal” Trump negotiated you can be sure he would not kept his end of it. Ask any mid-Atlantic subcontractor what Donald Trump’s word is worth.,Positive
Good morning to everyone besides people who didn't vote for Donald Trump.,Positive
Kratos ranted on Twitter about Donald Trump and it caused a huge argument.,Negative
Just got off the phone with Donald Trump and he is not doing too well because he is all out of spray tan,Negative
Who was the first President who truly knew that the #Afganistan war was doomed for coalition forces?   #poll #autocracy #bush #Obama #Trump #Biden #AfghanistanDisaster #AfghanTaliban #AfghanWomen #Afghans #JoeBiden #BarackObama #DonaldTrump #maga #Talibans #Kabul_Airport #wtf,Negative
@tedcruz Ted Cruz doesn’t leave Donald Trump’s behind,Negative
HOT TAKE: Donald Trump looks like a gorilla that never learned how to read #HotTake,Positive
Frank triumphs over Donald Trump,Positive
Elfogytak Donald Trump támogatói? Xiamoi elektromos autót fog gyártani? ...  https://t.co/FeraW3Tvu4 via @YouTube,Neutral
It’s a good thing that Donald Trump takes constructive criticism so well  https://t.co/ypn59lkVS5,Positive
"Donald Trump didn't tell the truth when he implied on FEB. 24 ""ICE came and endorsed me.""",Neutral
Former US President Donald Trump Issues Strong Warning About #Bitcoin -  https://t.co/Y5uhfVsznS #NaijaMusic #Naija #Cryptocurrency  https://t.co/j3KqU6GnEZ,Positive
"Excuse me. Donald Trump is very, very astonishing",Positive
"@jeff_kennett I was prepared to give Premier Andrews the benefit of doubt"" would have to be the biggest lie on Twitter since Donald Trump was allowed on.",Positive
@BeschlossDC @Berlidge And the biggest mistake our country has ever made was allowing Donald Trump to become president. And we don’t seem to be learning from that! Americans seem to be slow learners,Negative
"@inbluskyz1 @Mike35375600 @DonaldJTrumpJr It’s really not about the Capitol building, or the protesters, organized or disorganized. The fact of the matter is President Donald Trump LIED, to the American people and refused to leave office and peacefully transfer power to his Successor. That in and of itself is Treasonous.",Negative
Discours EXPLOSIF de Donald Trump sur OAN du 31 août 2021  https://t.co/9WeKsrxcWb  https://t.co/hz0hsd7MSj,Neutral
Thinking about the time Donald Trump guest starred on The Fresh Prince of Bel Air,Positive
@avngangel @paulwsj @DionNissenbaum Joe Biden will be named The Man Who Destroyed the World. A man who will live in infamy. Donald Trump hugged and embraced the American flag. Joe Biden clutches a folder with his instructions.  https://t.co/ecpYafh72h,Negative
"#Trump Covid-19, l’ombra di Donald Trump dietro il disastro del laboratorio di Wuhan - L'Espresso  https://t.co/dWbz3OTm8i",Neutral
The patriot act should have prevented Donald Trump from becoming a president. What the fuck happened? Double standard much government officials? They were too busy chasing the boogeyman than actual threats.,Negative
@ABC .@ABC I'm a blogger. A few words about Donald Trump:  https://t.co/LmmR3HVMhX  https://t.co/LqAZ7NPJM6  https://t.co/UNcqROJfQP  https://t.co/Wb5EgLSCTR  https://t.co/LBrBc7HOX1  https://t.co/7EA3XRpFgz  https://t.co/CvLgxqYjhL  https://t.co/c8H7iPrhCz  https://t.co/uaT2NGyVW9,Neutral
"@dokhollidays Erst (kein) Finanzcrash, dann Donald Trump (nicht) wieder Präsident, tja, und ich bin heute aufgewacht und noch am Leben. 🤷 Und das nach.. 💉💉   Mal sehen welche Katastrophe aus der Schwurblerecke als nächstes kommt. 🤷",Neutral
"@donwinslow @Yahoo “The “boss,” in this case, refers to Donald Trump ― or as Schiff called the former president, McCarthy’s “master in Mar-a-Lago.”  “They don’t want the country to know exactly what they were involved in,” Schiff said. “",Positive
"@NunuvyabiznessB @JustAna_is_Fine @DonaldJTrumpJr I voted for Joe Biden, we will never know if Donald trump would do a better job probably no. It's possible Biden doesnt know about this dogs. But It's not only about the dogs I'm talking about the whole evacuation, it's was complete mess.",Negative
The effects of Donald Trump and his appointees to the Supreme Court,Positive
@rmayemsinger Susan Collins did not encourage Donald Trump to run for public office in 2015. Bill Clinton did.  Susan Sarandon didn't push Donald Trump as the GOP standard-bearer in 2016 to push the rest of the party to the right. Hillary Clinton did.  So yeah. Fuck the Clintons.,Negative
Y'all know why the media turned on him right? The only way to get people to approve of Kamala Harris is to provide a worse alternative. Like the only way to get people psyched for Joe Biden is to provide Donald Trump.,Negative
"@inbluskyz1 @Mike35375600 @DonaldJTrumpJr It’s really not about the Capitol building, or the protesters, organized or disorganized. The fact of the matter is President Donald Trump LIED, to the American people and refused to leave office and peacefully transfer power to his Successor. That in and of itself is Treasonous.",Negative
@DonaldJTrumpJr  This is the day and this is the time brother Why #DonaldTrump voice is still down forcefully..... Please bring back his voice again from these social media companies ... #AskAmerica #America #democracy,Positive
emmanuel macron oubien nicolas sarkozy françois hollande ou vladimir poutine ou donald trump venez me voir un jour ou je plafonne vous verrais le reclu lol,Positive
"Biden Surrenders to Taliban, Brings Terrorists Back to US: Donald Trump  https://t.co/yZJwMHAY0H  August 25, 2021 #businessNews",Negative
Steve Flowers: Donald Trump comes to Alabama  https://t.co/UhAXyu95Jc #ALPolitics  https://t.co/URGb9PTVN7,Neutral
"@BBCWorld Such a rousing success so far he has blamed the Afghan army, Donald Trump, and his UK allies for it. And Isis have already made their intentions clear by murdering people. And he's left top grade US military gear in the hands of our enemy, and they have hung people from it.",Negative
"She’s just stating facts  #DonaldTrump was all talk &amp; no action.He was full of hot air. Hot,hateful,ignorant air. There is no wall,Mexico certainly was never gonna pay for it. We imported MORE THAN EVER from China.Trump didn’t create great,wonderful healthcare for everybody,etc…",Negative
Donald trump lit he rock wit ++++gangish,Neutral
"As of the time of this tweet, it is my sad duty to report that Donald Trump (@realDonaldTrump) is not yet in prison.",Negative
"It is not that Donald Trump glaringly eats his wife's hair, it's that Donald Trump idiotically invades ant kingdoms during his kid's dumb recital.",Negative
"Do you know who you're dealing with, to quote Kevin in a phone call to Donald Trump on January 6th? That's Mr. Minority Leader McCarthy, to us.",Neutral
Right now there are countries in Europe building walls along their borders and deploying armed forces in a bid to fend off the imminent arrival of Afghan refugees  Could you imagine the outcry if an American President did that  #Afghan #Refugees #Europe #DonaldTrump #BuildTheWall  https://t.co/VNxWz3cJ1z,Negative
@ungazetier Donald Trump est le plus mauvais président américain. Il  a conclu l'accord de Doha ou il s'est fait gruger par les talibans et a fait subir à son pays la plus grave humiliation depuis la chute de Saïgon en avril 1975.,Negative
Eski Amerikan Başkanı Donald Trump'dan Kripto Para Açıklaması!  #DonaldTrump #Bitcoin #BTC #kriptopara #altcoin #haberler #koinfinans    https://t.co/oPk0tdfAFT,Neutral
This dude is more delusional than  #DonaldTrump   Leave it to the American people to elect a bigger fool than the previous one. Every single time  America will be destruction of America. @POTUS @VP  #BidenMustGo #ImpeachBidenHarrisNOW #BidenLiedPeopleDied #Talibans #Afghanistan,Negative
"@PbuzzXr Perhaps the Q-anon conspiracy was about Donald Trump defeating the 'deep state' at a game of golf. The Q mystery, riddles and signs finally all make sense now. People just had the wrong idea that Trump was out to rid the world of the masonic cabal.",Negative
"1997, The Devil's Advocate, Donald Trump  https://t.co/pxrfOQkBKG",Neutral
"Former #DonaldTrump #NationalSecurityAdviser @RobertCOBrien spoke for over an hour with House #Republicans yesterday, helping them develop their policy offensive on #Afghanistan &amp; against the #Biden administration in an effort to retake #Congress in 2022.   https://t.co/x7wc8PZ5Fy",Negative
Good morning! It's Wednesday September 1st 2021 - and Donald Trump is STILL a moron,Negative
"“As long as you’re going to be thinking anyway, think big.” –Donald Trump, The Trump Organization President""",Neutral
DONALD TRUMP HAS A PLAN TO BUILD A WALL A GREAT DIVIDE THAT WILL NEVER FALL,Positive
Hang on. You blame Donald Trump for forcing you to end this war by retreating. Yet you now call it your commitment. Which is it?,Negative
Donald Trump Says Crypto is a Potential Disaster Waiting to Happen (cryptopotato) #CryptoNews  https://t.co/ehk7T1TJls,Negative
Donald Trump Calls Crypto A “Disaster Waiting To Happen” (Cryptocoin) #CryptoNews  https://t.co/jXY8MDDhX8,Neutral
@avngangel @paulwsj @DionNissenbaum The Man Who Destroyed the World. A man who will live in infamy. Donald Trump hugged and embraced the American flag. Joe Biden clutches a folder with his instructions.  https://t.co/dpRV2Sabhg,Negative
"""No matter our race, color, religion, or creed, we are one America"". - President Donald Trump 🦅🇺🇸  https://t.co/Xaqh7oJzQE",Neutral
ok yall can stop making hating donald trump your personality now,Negative
"forklog: donald trump calls cryptocurrency investment an ""expected disaster  https://t.co/lJ5670Bq7A",Negative
@anarchobaddie @TheOnion I used to live and work in New York City back in the 90s - the top dogs then were Mayor Rudolph Giuliani and a popular business man Donald Trump. I used to wake up every morning listening to Howard Stern - funny guy.,Positive
Donald Trump and family among phone records sought by January 6th committee: CNN  https://t.co/v9BmZ3CjWq via @msnbc,Neutral
The Man Who Destroyed the World. A man who will live in infamy. Donald Trump hugged and embraced the American flag. Joe Biden clutches a folder with his instructions.  https://t.co/m5Q1b22K9q,Negative
Donald Trump: Crypto Investing “Hurts the United States Currency” #Bitcoin #Btc #Cryptocurrency #Finance #Forex #Markets #Money  Read:  https://t.co/ZlqaD5xvUk,Positive
"@SenJeffMerkley Sen Merkley wants keep stealing Elections! Legal Group (PILF) Claims Wisconsin Lost Track of 82,000 Mail-In Ballots During 2020 Election which is more than four times the number of votes by which Joe Biden beat Donald Trump.",Negative
