,sentiments,labels
78,@chrgovph Wala po kaming balita mula sa inyo kung ano na ang nangyari sa kaso ng mga biktima ng CPP NPA NDF. Kapag mga pulis at militar ang may gawa may Aksiyon agad kayo at may pa presscon pa.,Negative
79,@chrgovph Nag iingay na naman kayo pero yung mga biktima ng CPP NPA NDF hanggang ngayon wala paring resolusyon sa kaso kung anong gagawin niyo sa mga CPP NPA NDF na pumatay sa mga sibilyan. Mabagal kayo magbigay ng hustisya pero kapag mga government forces ang gumawa may presscon agad.,Negative
83,I don't care kung ihahayag niya ang kanyang pagtakbo sa 2022. Hindi na kami magugulat sapagkat alam na namin yan noon pa kahit hindi pa niya sabihin. There is nothing new. Sorry I'm not interested.,Negative
87,"Sen. Richard Gordon also says mocking someone's appearance can be considered as an act of ""bullying"", following President Rodrigo Duterte's tirades against him and Sen. Ping Lacson.  https://t.co/EfCx15XRxA",Negative
88,Ang nangyayaring imbestigasyon sa senado ay hindi in aid of legislation kungdi in aid of politics. Ngayon lang mag iimbestiga sa panahon ng election bakit hindi ginawa yan bago mag election. Galawang trapo ang ginagawa ng mga Senador na nag aambisyong maging Pangulo.,Negative
89,@nuelleduterte's podcast interview was so cringey. I hated how the host kept on badgering her about her connections to the president and her name.   She is not just a Duterte! She is a FILIPINO. She is making a stand for what is good for the country. #GiveBackHerName,Negative
90,Tandaan yung mga maiingay ngayon ay yaong mga nag a ambisyon na maluklok sa sentro ng kapangyarihan ito ay sina. 1) Panfilo Lacson 2) Richard Gordon 3) Manny Pacquiao 4) Isko Moreno Domagoso 5) Leni Robredo At iba pa.,Negative
99,"President Duterte lifted the moratorium on new mining agreements in a supposed bid to resuscitate the country’s economy. This did not sit well for environmental advocates, who cited the extensively documented destructive impacts of mining. #GASC51    https://t.co/WS9UnydkzE",Negative
102,"@forthenationPH @gmanews pero na nalo sya as vice president diba, hahahaha 16m lang bumuto kay duterte wala halos kalahati sa populasyon nag pinas, malamang kukunti na yan, unless mandaya si mang kanor which is na sa personality nya",Negative
108,"Presidential Spokesperson Harry Roque thinks President Rodrigo Duterte was wrong to call Senator Dick Gordon fat, saying he’s overweight himself.  https://t.co/Ur7j6fDbcW",Negative
110,"President Rodrigo Duterte should have not body shamed Senator Dick Gordon, according to Presidential Spokesperson Harry Roque.  https://t.co/rTTRVwahdW #PolitikoNews @RRD_Davao  @attyharryroque  @pr1ncegolez",Negative
111,"Meanwhile, posters of Davao City Mayor Sara Duterte were seen in various areas in the country urging her to run as president  Critics have pointed out that a Duterte-Duterte tandem might be seen in the coming elections. #GASC51",Negative
114,"For publicity, attack some one who is popular. So they attack President Duterte. 🥂",Negative
125,"The word war between President Rodrigo Duterte and several senators will only stop after Election Day, Malacañang said Wednesday.  https://t.co/7tHESmIE10 #PolitikoNews @RRD_Davao  @attyharryroque  @pr1ncegolez",Negative
129,@jmnpunzalan What if Senate probe on pandemic deals leads to President Duterte? Will he cooperate?  Roque: Wala pong ebidensiya ng overpricing. Kung meron po… hindi na kinakailangan ang Senate investigation. Sisibakin na po ‘yan ni Presidente | via @jmnpunzalan,Negative
130,@jmnpunzalan @pia_gutierrez What if Senate probe on pandemic deals leads to President Duterte? Will he cooperate?  Roque: Wala pong ebidensya ng overpricing. Kung meron po… hindi na kinakailangan ang Senate investigation. Sisibakin na po ‘yan ni Presidente. | via @jmnpunzalan,Negative
132,What of Senate probe on pandemic deals leads to President Duterte? Will he cooperate?  Roque: Wala pong ebidensya ng overpricing. Kung meron po… hindi na kinakailangan ang Senate investigation. Sisibakin na po ‘yan ni Presidente.,Negative
143,"Roque on Pacquiao-led PDP-Laban's decision to oust President Duterte as chairman: Sa pananaw po ni Presidente, nananatili siyang chairman. @azereraser_PNA",Negative
144,"Zubiri said the delay in the project construction has angered President Duterte, which prompted him to push for the passage of RA 11032 or the Ease of Doing Business and Efficient Government Service Delivery Act of 2018. #SenatePH 2/3 @migzzubiri",Negative
146,"Roque on Pacquiao-led PDP-Laban's decision to oust President Duterte as chairman: Sa pananaw po ni Presidente, nananatili siyang chairman. @pnagovph",Negative
147,"Roque agrees with those saying that President Duterte should not body shame Senator Richard Gordon: I may be spokesperson, but I agree. Mr. President, 'wag mo na sitahin ang katabaan dahil mea culpa, mataba rin ako. Mea culpa, nagpapapayat po ako. @tribunephl",Negative
149,"@jmnpunzalan @pia_gutierrez Why did President Duterte attack senators for their weight, hairdo? What does this have to do to the Senate probe?  Roque: I may be spokesperson, but I agree, Mr. President, ‘wag mo nang sitahin ang katabaan dahil mea culpa, mataba rin ako. Magpapayat na rin po ako | @jmnpunzalan",Negative
150,"Why did President Duterte attack senators for their weight, hairdo? What does this have to Senate probe?  Roque: I may be spokesperson, but I agree, Mr. President, ‘wag mo nang sitahin ang katabaan dahil mea culpa, mataba rin ako. Magpapayat na rin po ako | via @jmnpunzalan",Negative
151,Roque says President Duterte will leave it to the @OmbudsmanPh to release his SALN. @azereraser_PNA,Negative
153,"Why did President Duterte attack senators for their weight, hairdo? What does this have to Senate probe?  Roque: I may be spokesperson, but I agree, Mr. President, ‘wag mo nang sitahin ang katabaan dahil mea culpa, mataba rin ako. Magpapayat na rin po ako.",Negative
157,Roque says President Duterte will leave it to the Ombudsman to release his SALN. @pnagovph,Negative
159,@Vagnarok1 @MannyPacquiao It's better to give up all. If you wanted to be a public servant just focus in your own province kc hirap talaga sila doon at doon ka mag start. Malay mo like Duterte maging president ka balang araw but not now bcoz our country was in danger kailangan talaga masagip.,Negative
160,"Roque on Duterte criticizing Senator Gordon for his weight: I may be a spokesperson, but Mr. President, wag mo na sitahin ang katabaan kasi mataba rin ako. @TheManilaTimes",Negative
161,"Roque on President Duterte's comment about Sen. Gordon's weight: Mr. President, wag mo na sitahin ang katabaan dahil mea culpa, mataba rin po ako @inquirerdotnet",Negative
163,"Why does President Duterte have to criticize Senator Richard Gordon for his weight?    Roque: I may be a spokesperson, but Mr. President, wag mo na sitahin ang katabaan kasi mataba rin ako.",Negative
165,"Duterte defends former appointees Lao, Yang over pandemic spending controversy-Shit! How can a sitting president defend a so blatant act of corruption? This is almost treason, betraying the trust of the citizenry to uphold the law.",Negative
166,"@alexisbromero @helenmflores Roque on President Duterte's remarks about Sen. Gordon's weight: Mr. President, huwag mo na sitahin ang katabaan dahil mea culpa, mataba rin po ako. | @alexisbromero   LIVE:  https://t.co/DwWpE5lNlP",Negative
169,"Roque on President Duterte's remarks about Sen. Gordon's weight: Mr. President, huwag mo na sitahin ang katabaan dahil mea culpa, mataba rin po ako @PhilippineStar @PhilstarNews",Negative
175,"Roque on word war between President Duterte and senators on procurement of pandemic supplies: Matatapos lang po ito sa eleksyon. Desperado lang ang oposisyon kaya gumagawa ng isyu. Pero siguro, ginagawa nila ito para hindi sila ma-Otso Diretso ngayong taon. @tribunephl",Negative
176,@rapplerdotcom A corrupt president dealing with wanted criminals. Duterte syndicate at its finest #DuterteCorrupt #DuterteImpeach #DuterteMagnanakaw,Negative
183,Roque reiterates President Duterte's stand on emergency procurement: The process of emergency procurement is consistent with our existing laws such as RA 9184 and relevant GPPB issuances and other further support of RA 11469 or Bayanihan to Heal as One Act. @TheManilaTimes  https://t.co/cTs0yb9JtO,Negative
187,"Roque reiterates President Duterte's message to Congress that emergency procurement of pandemic supplies was consistent with RA 9184, relevant GPPB issuances, and RA 11469 or Bayanihan to Heal as One Act. @tribunephl",Negative
189,"Roque reiterates President Rodrigo Duterte's stand on emergency procurement: ""The process of emergency procurement is consistent with our existing laws such as RA 9184 and relevant GPPB issuances and other further support of RA 11469 or Bayanihan to Heal as One Act.""",Negative
193,"There is no budget for the establishment of more COVID-19 testing labs, while funding for coronavirus vaccines is uncertain under President Rodrigo Duterte’s final spending plan  https://t.co/dCkepWHAIU",Negative
194,"There is no budget for the establishment of more COVID-19 testing labs, while funding for coronavirus vaccines is uncertain under President Rodrigo Duterte’s final spending plan  https://t.co/qGjiIBvefz",Negative
202,"President Rodrigo Duterte blabbered about Senator Dick Gordon's big mouth in his late night rant that aired Tuesday, saying he was a ""talkathon"" champion.  https://t.co/Hp1H2ATAgb @RRD_Davao  @DickGordonDG  #AbogadoNews",Negative
204,Senator Manny Pacquiao on President Duterte's response to criticisms levied against the administration during an ANC interview this morning.  #NowYouKnow #NYK  https://t.co/Wr9Zv9jBW6,Negative
209,"@rapplerdotcom @lianbuan 61 lawyers* have been killed during President Rodrigo Duterte's 5 years in power, compared to the 49 lawyers killed in the span of 44 years, from Ferdinand Marcos to Benigno ""Noynoy"" Aquino III.  https://t.co/OdbiS5UFcV",Negative
212,"UPLB CAFS SC: That the GASC condemns peasant killings under the Duterte regime, intensifying calls to hold President Rodrigo Duterte accountable for the hundreds of peasants killed and thousands violated under his administration.  #GASC51",Negative
220,"the everyday scene at PGH where mama works, even prior to covid, shows a president adamant on killing his people just to get a big share on corrupted funds from numerous healthcare budget cuts &amp; misused funds",Negative
232,"UPD BAC: The corrupt and unscrupulous flow of funds under the Duterte administration has been put to light, which made the President’s supporters send out hate criticisms to COA and its auditors. #GASC51",Negative
235,"to Pacquiao, Lacson, Sotto and Gordon  - where were you since Duterte became president? you had no comment, were even enablers of Duterte since he took office.",Negative
236,"In addition, state auditors have also flagged agencies for buying supplies from a nonexistent supplier, cash advances, and improper documentation. This has earned the ire of President Duterte who instructed his Cabinet to ignore COA reports. #GASC51  Read:  https://t.co/H3RLAsZ3oU",Negative
238,"@BIENsays Tama lang. No to all enablers of this garbage admin. They spoke only when the election is at hand just to ride on people's dismay on the accidental president, Duterte.",Negative
242,@leisbeth_recto @c4lidor3 Duterte. Worst President in the Solar System.,Negative
243,Most useless and corrupt President of the Philippines? From Cory Aquino to Rodrigo Duterte era. They are all problematic.,Negative
245,"Yung mga DDS, lalo na yung kabayan kong si Robin, tikom ang bibig sa 42 Billion scam ng DOH, nakinabang ba?  #I am a Filipino and my president is Duterte, a billionaire!  https://t.co/pp93ScXdB0",Negative
248,"President Rodrigo Duterte has challenged the Commission on Audit (COA) to publish criminal cases filed against state auditors, stressing that many of them have been accused of bribery and falsification of documents Read more here:  https://t.co/B9OTXKoikV  https://t.co/PBBGzpyBSu",Negative
251,"President Duterte is angry at Senator Richard Gordon for grilling embattled former budget undersecretary Lloyd Christopher Lao, and urges voters to ignore the lawmaker if he runs in 2022.  https://t.co/loMCJMx6Sn",Negative
254,"President Duterte is angry at Senator Richard Gordon for grilling embattled former budget undersecretary Lloyd Christopher Lao, and urges voters to ignore the lawmaker if he runs in 2022.  https://t.co/IWofpwz2Dp",Negative
259,"DUTERTE'S TOTAL DISRESPECT: THE SENATE REAPED WHAT IT SOWED   And how to take him down a notch? Here are some measures, if they have the nerve:   1. Cut the president's intelligence fund; 2. Abolish NTF-ELCAC; 3. Send Christopher Lao to jail for contempt; 1/-",Negative
267,"""President Rodrigo Roa Duterte's Talk to the People"" tas ""nangako ako na hindi ko siya iiwanan habang buhay at amin na lang iyon dahil mahal ko siya"".   bat parang name ng talk show tsaka script ng isang upcoming drama? next up we'll see mean girls bitch at each other sa senate😍",Negative
270,"President Duterte - ""What us wrong with that?""   Overpriced po. Putanginangyern!  Michael Yang, o, wag na mag alala. Sya daw dapat makulong.",Negative
278,"Philippine President Rodrigo R. Duterte has defended his former economic adviser Michael Yang, who had been linked to the illegal drug trade, after the Chinese businessman was implicated in another controversy.  READ:  https://t.co/T64bbJeRxm  https://t.co/qlXdzsvdhk",Negative
280,"Philippine President Duterte airs threat, mocks Senator Gordon’s girth, Senator Lacson’s hair over Senate #corruption hearings.  https://t.co/UgPo16ECTV",Negative
285,President Rodrigo Duterte has floated the possible policy shift by imposing “localized lockdowns” nationwide instead of implementing city-wide and province-wide community quarantine to address the coronavirus disease 2019 (Covid-19) pandemic.  https://t.co/1SXn0nnB86,Negative
286,"Duterte Insults Senators, Accuses Them Of Politicking; Lacson, Gordon Think President In ‘Panic Mode,’ Must Answer Corruption Issues  https://t.co/SoiGQGEy7u | via @onenewsph",Negative
291,@inquirerdotnet @melvingasconINQ Gordon has no evidence. Only chismis. And Gordon is going to go on a fishing expedition.  Ito ang mga gagong gustong tumakbo bilang president at vice president ng Pilipinas next year.  Tama nga si Duterte dakdak lang ng dakdak for themselves lang.,Negative
293,"57 lawyers murdered under Duterte. The level of impunity in this country, normalized by the president, is at par with that of war-torn countries.",Negative
298,"Angered by the “all talk” Senate blue ribbon hearings, President Rodrigo Duterte has threatened to bar Cabinet members and other officials of the executive branch from appearing in the chamber’s inquiries.  https://t.co/u5iG9O1VZT",Negative
299,"@charlesferrer90 @margallo_lucio Hahaha kapag pabor sa inyo ang survey ng pulse asia tuwang tuwa kayo at sinasabi nyong legit. Pero ngayong kulelat kayo ""false asia"" na? How double standard, bias and stupid can you be? Pathetic! Lols.",Negative
300,A senator closely allied with President Rodrigo Duterte on Tuesday asked Sen. Richard Gordon to inhibit himself from the Blue Ribbon Committee's inquiry into deficiencies in pandemic spending that had been flagged by state auditors.    https://t.co/uCPGzwt8QD,Negative
301,@dzrhnews @liezel_once Can a president intervene or worst protect individuals involved in the Senate Blue Ribbon Committee (BRC)?  Bakit hindi hayaan ni Duterte ang komite na gawin ang trabaho nila?  Kung walang itinatago intayin na lamang ang report. Si Go - parang hindi member ng BRC umasta.,Negative
310,"Terrorist npa ccp ndf and illegal drug dealers, corrupt are what President DuTerte hates.",Negative
320,"It's no secret that the Vice President's main job is to take over as President.  When the current Prez shall have died or shall have become permanently disabled or resigned, the Vice President shall become President.       So, Duterte is making a mockery of the Constitution.",Negative
323,#ICYMI: President Rodrigo Duterte warned of a constitutional crisis after he threatened to bar Cabinet members from attending congressional inquiries if lawmakers would “rudely” question them.  https://t.co/vG3hNuuvjD,Negative
326,President Duterte attacking 2 of our senator's personal life is so unprofessional and a big reason why we should already impeach him from the position.,Negative
328,"As his six-year term nears its end, President Duterte announces his intent to run for VP next year. A move from the Putin/Medvedev playbook and it’s all about dodging the potential ICC prosecution that faces him?  https://t.co/olq5pA9TVG",Negative
329,"@_mimic_ Duterte is undoubtedly a sick guy, but he has appointed the right people for SOME government positions.  Gina Lopez was reappointed by Duterte himself. She was good IMHO.  Th President is like a dead clock. He is correct once in a long long time. Not really daily.",Negative
330,"President Rodrigo Duterte is set to receive this week the results of a DOJ-led review of 52 ""drug war"" cases that resulted in deaths but it is unclear if the CHR or the families of people killed in those cases will see the report.   https://t.co/kxv8xjLDI6",Negative
332,Because Rodrigo Roa Duterte is all about whataboutism. The old fart has no credibility. The fools who still fall for his charades are either eternal fools or corrupt monsters.  No accountability. This president goes high up to the international presidential shit list.,Negative
333,"The Philippines is experiencing a rampant human rights crisis under the authoritarian rule of President Rodrigo Duterte, who has made extrajudicial “drug war” killings and redtagging of activists, trade unionists, land defenders, and the poor.  https://t.co/jLArRK9tIf",Negative
340,"If President Duterte would have his way, he would see to it that details of the criminal charges filled against Commission on Audit (COA) personnel would get published, stressing that those from that agency can commit “sins” as well.   https://t.co/OLcZIs8942",Negative
344,"• As PH's COVID-19 cases hit new records, President Duterte says local deaths due to coronavirus lower compared to other countries  https://t.co/JpatGbjZuF",Negative
348,"Para sa mga senador na nag iimbestiga sa pagbili ng mga PPEs, Face Mask at Face Shield ito lang ang masasabi ko hindi niyo pwedeng ikumpara ang presyuhan ngayon ng mga yan sa panahon ng unang tumama ang covid19. Nagkakaubusan ng stocks ng panahon na yun kaya mahal ang bentahan.",Negative
362," https://t.co/9y1dvSEQg7  Kilala ni Duterte si Lao, di kilala ni Bong Go. Umiiwas pusoy, baka nanlalalaglag na. So di po totoo na siya ang the President's Man hehe  https://t.co/S2RUEJbxsO",Negative
363,Senator Bong Go (@SAPBongGo) unmasked the unabashed hypocrisy of some senators who questioned his continued fealty to President Rodrigo Duterte behind his back.  https://t.co/62tIbqZ7CW,Negative
364,Nagmamalinis ang ibang pulitiko laban kay PRRD pero meron din silang bahid na dumi sa mukha at katawan. Ngayong binira sila ng Pangulo biglang sisigaw ng foul at umaray. Kung ayaw niyong mabanatan ng Pangulo manahimik na lang kayo. Nag aambisyon pa naman kayo. Ngayon pa ala na.,Negative
375,An irate President Rodrigo Duterte on Monday badmouthed senators Richard Gordon and Panfilo Lacson with insults about their physical appearances after they grilled his allies linked to crooked spending of pandemic funds. #PressOnePH   https://t.co/cV8vS4Xcni,Negative
376,"President Rodrigo Duterte has threatened to order members of his Cabinet to snub congressional inquiries, as he criticized senators for their supposed ""rude"" treatment of his appointees.  https://t.co/WRRCYsOSVo",Negative
383,President Rodrigo Duterte on Monday assured members of his Cabinet that they would be “extracted” within 24 hours should they get detained for contempt during Congress inquiries. #PressOnePH   https://t.co/uLU09un3Ra,Negative
386,"Healthcare workers groups have been vocal on the non-release of SRAs, even threatening to hold mass resignations.  President #Duterte earlier ordered the DBM and DOH to pay the delayed allowances to front-liners within 10 days.   (c) PNA/Presidential Photo",Negative
390,"Citing PhilHealth spokesperson Dr. Shirley Domingo, President #Duterte said working on a skeletal force due to the pandemic also made it more difficult to process unpaid claims.  He sought patience from those criticizing #PhilHealth as well as the Department of Health (DOH).",Negative
391,President #Duterte said Gierran noted that the #PhilHealth “cannot move faster” because he does not want to be accused of irregularities.,Negative
394,President Rodrigo Roa #Duterte made this statement amid criticism over #PhilHealth’s pace in processing unpaid claims which resulted in the closure of some hospitals and affected hospitals' manpower amid the Covid-19 pandemic.,Negative
395,PhilHealth ‘careful’ in paying hospital claims-Pres. #Duterte  The state-owned Philippine Health Insurance Corp. is supposedly taking “too long” to pay hospital claims because president/CEO Dante Gierran wanted to be “careful” to avoid more issues from hounding the state insurer.  https://t.co/n6lcO6Cg6t,Negative
396,President Rodrigo Duterte questioned the senators’ motives for investigating the Department of Health’s management of its COVID-19 response funds.  https://t.co/oslj8H4Uy9,Negative
404,"President #Duterte, nevertheless, defended his Cabinet members, saying they are also fulfilling their mandate to serve the public, especially amid the health crisis.",Negative
407,President #Duterte then told the senators to stop trying to “run” the Department of Health(DOH)just because it is currently being considered “high-profile” due to the Covid-19 pandemic.  President Duterte also advised them to just monitor the DOH’s handling of the pandemic funds.,Negative
408,"Random thoughts:   Duterte's one of the reason why he wants to run as Vice president, is to be immune from punishment that he'll face after his term. Second he do not want Duque to resign. So ano point ko?  What my point here is that if ever mang matalo si Duterte sa eleksyon....",Negative
409,"“Kasi kagaya nitong ni Secretary Duque, ginugulo ninyo ang tao, nagtatrabaho. Tapos ang reklamo lang ninyo hindi nagastos (Secretary Duque is doing his job but you are distracting him. Your only complaint is he failed to spend the money),” President #Duterte said.",Negative
410,"President #Duterte said #Gordon and #Lacson were merely trying to distract #Duque who he said is merely doing his job to defeat Covid-19.  President Duterte also vouched anew for Duque’s integrity, saying he believes that the Health chief is not involved in irregularities.",Negative
411,"“Si Ping naman silang dalawa ni Gordon nag-usap, sabi ni Gordon about Duque resigning, may ganoon na demand to resign (Ping and Gordon were talking about Duque resigning. They even demanded [Duque] to resign),” President #Duterte said.",Negative
420,Worst. President. Duterte.,Negative
426,"Ang final result nalang (don’t release it to media. Just release the final result),” President Duterte said.  Releasing preliminary observations, President #Duterte said, would only distract the DOH from attending to the prevailing health crisis.",Negative
429,"Tinutulungan pa ninyo mag-falsify, fraud (It is much worse because it’s bribery. You even help people falsify documents),” President #Duterte added.",Negative
431,"And Duterte’s vice-presidential run (Presidents and Vice Presidents are elected separately, and there is no clear language in our Constitution that prevents him from running for VP despite the presidential term limit)",Negative
433,"COA dared to publish cases filed vs. state auditors  President Rodrigo Roa #Duterte challenged the Commission on Audit (COA) to publish criminal cases filed against state auditors, stressing that many of them have been accused of bribery and falsification of documents.  https://t.co/nOax5Z2qar",Negative
434,Can’t say much about the other countries but the only news coverage I’ve seen from US media outlets about the Philippines lately is the death of our former President Aquino and Secretary Austin’s meeting with Duterte (and pundits losing their minds over faceshields),Negative
435,President Duterte and Senators Panfilo Lacson and Richard Gordon traded barbs on Tuesday as the Senate investigates the procurement of billions of pesos worth of COVID-19 supplies that were allegedly overpriced while some were even defective.  https://t.co/gFmBEbPMTy | @onenewsph  https://t.co/rDyM43GYgW,Negative
436,"“So, parang masakit masyado (So, it pains me),” President Duterte said. “Kasi itong mga walanghiya talaga ‘to. Iyong iba naaareglo (These [illegal recruiters] are shameless. They can escape liability) because they have the money, they have earned so much money",Negative
437,"and I will give the same lecture, about half a day so that preparado sila, hindi sila takot (they are prepared and not afraid).”  President #Duterte said it is unbearable to see overseas Filipino workers (OFWs) fall prey to illegal recruiters.",Negative
438,"Bello told President #Duterte that there is already a task force on illegal recruitment that is being headed by the Department of Justice (DOJ).  President Duterte, in response, said the way the existing task force handles the issues on illegal recruitment is “too circuitous.”",Negative
439,"President #Duterte told Interior Secretary Eduardo Año to train personnel that will be part of the new task force.  “Give them about two months of lectures and training about labor laws and about crime, how to ano lang (conduct) the law of arrest, search and seizure,” he said.",Negative
440,President #Duterte’s order came after Labor Secretary Silvestre Bello III told him that his office’s efforts against illegal recruitment have borne fruit following the conviction of 32 individuals.,Negative
442,President #Duterte sought the establishment of a new anti-illegal recruitment unit that will be run either by the National Bureau of Investigation (NBI) or the Philippine National Police’s Criminal Investigation and Detection Group (CIDG).,Negative
443,PRRD bent on forming stronger task force vs. illegal recruitment  President Rodrigo Roa #Duterte has pitched for the creation of a “stronger” task force that will implement the government’s strong measures against illegal recruitment.  https://t.co/HZvp38Jwmy,Negative
447,@gmanews In short Bong Go's allegiance is with Duterte not with the Filipino people. And it's even more dangerous if he becomes the President. Puppet na puppet. So mag isip tyo sa 2022 ha. No to Duterte. No to Bong Go.,Negative
