sentiments,labels
Opposition Senator Leila de Lima on Wednesday expressed belief that President Duterte is the mastermind behind the awarding of the P8.7-billion contract to Pharmally Corp.  READ MORE:  https://t.co/Go6w7Tts9U  #NowYouKnow #NYK  https://t.co/CbBO4vovK1,Positive
"The Department of Justice assured that President Rodrigo Duterte has the ""proper legal defenses"" should the International Criminal Court decide to conduct an investigation on the national government's campaign against illegal drugs.  STORY:  https://t.co/osdRJbZimZ",Neutral
Presidential Spokesperson Harry Roque spoke out against President Rodrigo Duterte’s fat comment against Senator Richard Gordon.  https://t.co/jVarS750X7,Neutral
"@mystic1434 @sotto_tito @SenGracePOE @usapinglacson @DickGordonDG @MannyPacquiao @risahontiveros @BigManDrilon Most of these issues are minor, some are resolved, and others are baseless/made-up accusations. Duterte has outdone Pnoy's &amp; every other post-EDSA president's failures &amp; malfeasances by a long shot. We are literally currently in PH's darkest, lowest point since the Marcos era.",Negative
Zhongli no debt if he has hu tao = Duterte walang debt kung tatakbo siyang vice president,Negative
Ang lala ni Duterte! At ‘wag nila sabihing hindi nila alam ang tungkol dito. P4.5 billion ang intel and confidential funds ng Office of the President.  https://t.co/MTmANhAHpq,Neutral
"yung eme niyo ""NABUDOL KAMI NI DUTERTE.. NEVER AGAIN""  bugok niyo 😂😂😂 paano kayo mabubudol eh di niyo nmn ibinoto at madaming silang nag labanan na President noon kaya wag kayong ugok! Nabudol kayo ni Mar Roxas 😂😂😂",Positive
Presidential Spokesperson Harry Roque said President Duterte’s critics seemed to be trying so hard to besmirch his administration to avoid a repeat of another defeat in next year’s elections.   https://t.co/8sb45tTDEv,Negative
"Nuelle Duterte, a niece of President Rodrigo Duterte, sees Vice President Leni Robredo as a “better option” to succeed the chief executive once his term expires in 2022. | via @pr1ncegolez  https://t.co/BWSFaUyZyw",Positive
"“One whiff of corruption, you’re out.”  This was President Rodrigo Duterte’s most famous declaration in 2016. But less than a year before he steps down, analysts and critics said there have been few actions to match his strong words. | @AdrianINQ  https://t.co/p4DBh5pLC1",Positive
today I learned an officemate wants Marcos to be the next president????? tapos ok lang daw si Duterte I’m -,Positive
President Rodrigo Roa Duterte has openly mention that he is a friend of China. Why our lawmakers and Media People so shocked that he has people with Chinese surname working with him in the Government? It is really not about them but the President.,Neutral
"President Rodrigo Duterte is ignoring the move made by the PDP Laban faction headed by Sens. Aquilino “Koko” Pimentel III and Manny Pacquiao to boot him out as the ruling party’s chairman, Malacañang said Wednesday.  https://t.co/qyX6cjIGwF",Negative
"President Rodrigo Duterte is ignoring the move made by the PDP Laban faction headed by Sens. Aquilino “Koko” Pimentel III and Manny Pacquiao to boot him out as the ruling party’s chairman, Malacañang said Wednesday.  https://t.co/0V7wHlTKjp  https://t.co/5fJIozUtyC",Negative
President Rodrigo Duterte approved a P1.7 billion budget to be reserved for the rehiring and extension of employment of contact tracers whose contracts were supposed to expire in August.   https://t.co/p04t1loWbe,Positive
"Nuelle Duterte, daughter of President Rodrigo Duterte’s younger brother, believes that Davao City Sara Duterte-Carpio does not have the right personality for Malacañang.",Neutral
LOOK: President Rodrigo Roa Duterte explained that the government had to make do with what was available during a time when most countries were also scrambling for medical supplies against an unprecedented threat.   #workingPCOO #LagingHandaPH #WeRiseAsOne  https://t.co/Iq26rKAcoM,Negative
LOOK | Governor Sakur Tan of Sulu lauds the positive impact of the interventions done by the Provincial Government with the guidance of President Duterte to achieve lasting peace in Sulu.  #PeacefulSulu #NTFELCAC,Positive
"WATCH: Malacañang said President Rodrigo Duterte has not released his Statements of Assets, Liabilities and Net Worth like other government officials have out of respect for the Office of the Ombudsman.   https://t.co/DQO7x1b2jZ",Positive
"Meanwhile, President Duterte has stood by Duque amid repeated calls for his resignation as far back as last year, the latest after state auditors flagged ""deficiencies"" in more than $1 billion in COVID-19 spending. @Reuters  https://t.co/ERUDUvflfl",Negative
"Nuelle Duterte, daughter of President Rodrigo Duterte’s younger brother, believes that Davao City Sara Duterte-Carpio isn’t competent to serve as president.    https://t.co/AO9RERQgvQ",Positive
Philippines' Duterte agrees to run as vice-president in 2022 - The Guardian  https://t.co/GlQ5wU2LUo via @GoogleNews,Positive
UPM UPPhA SC narrates that President Duterte repeatedly urged the nation to just wait for the vaccine rather than mitigating other preventive and solving measures against the pandemic. #GASC51,Positive
"Nuelle Duterte, daughter of President Rodrigo Duterte’s younger brother, believes that Davao City Sara Duterte-Carpio isn’t competent to serve as president.  https://t.co/zuIFJyqBWF #PolitikoNews @RRD_Davao  @indaysara  @pr1ncegolez",Positive
"@ignaciolourdes @krizzy_kalerqui Kya nga, kung maka kuda ang babaing yan wagas. Hindi ka na nman nag-isip. Ngayon lng ngka covid sa panahon ni Pres. Duterte, kung nagka covid sa panahon ng mga past president lalo ng 2 Aquino bk hindi lng 2M mas higit pa at mas lalong maraming magugutom dahil knya knyang nakawan.",Neutral
"WATCH: A video from March 2017 shows President Rodrigo Duterte meeting with Pharmally executives.  Present at the meeting was company chairman Tony Huang, who is wanted in Taiwan for securities fraud, embezzlement, and stock manipulation.   https://t.co/TaAq3Bh7ut",Negative
Presidential Spokesperson Harry Roque has apparently disagreed with his boss President Duterte on the need to publicly discuss a “weighty” issue.  READ:  https://t.co/CnlOIiOES3  https://t.co/zDhCnwhhft,Negative
"President Rodrigo Duterte has no reaction to his ouster as chairman of the PDP-Laban as he believes he is still the chairperson of the political party, Malacañang said. | @DYGalvezINQ  https://t.co/yniZdK4uJw",Positive
The fight between rival factions continues.  Malacañang said President Duterte believes that he is still the chairman of the ruling party PDP-Laban despite being “ousted” by his rival camp in the said organization.  READ MORE:  https://t.co/BLv45nnjAV  #NowYouKnow #NYK  https://t.co/29Gh30Gi4Z,Neutral
"READ: Statement of President Rodrigo Roa Duterte on Tuesday (Aug. 31), saying he ordered at the onset of the COVID-19 pandemic to rush the purchase of medical supplies needed to combat COVID-19.  https://t.co/G0DvWOQL4K",Negative
Palace: Michael Yang did not influence awarding of anti-COVID-19 gov’t contracts  https://t.co/hvHK4OeNcq,Negative
@KalinawNews Ingat ka maghahanap lang yan ng butas para makasuhan ka niya ng libel.,Neutral
Dapat imbestigahan ng Pangulo ang DOH Secretary noong panahon ni Pnoy sa overprice na pagbili ng mga PPEs sa panahon ng walang pandemic.,Neutral
Message of President Duterte  https://t.co/i85yxKB8NE,Neutral
"‘MARAMI NA KASING NASUSUKA SA PRESIDENTE’  In an interview with “The Chiefs” on OneNews on Tuesday, PDP-Laban Vice Chairperson Lutgardo Barbo said that many members of the ruling party are dismayed over President Duterte’s governance.  https://t.co/Tuotvqu1iZ",Negative
@risahontiveros It was Duterte’s decision to have no bidding so the president is an outright conspiring with this criminals! Impeach Duterte #DuterteCorrupt #DutertePalpak #DuterteInutil,Negative
@MacLeod_72 Ay tanga lang ang tanong. Natural tatay ko mangingisda natural ako mismo ang magtitinda. Hay naku.,Positive
@simplymeeeeehh Walang kurapsyon na nangyari Mister Senator.  COA na mismo ang nagsabing hindi nila masasabing merong kurapsyon kasi yung pondo na hindi nagamit andun sa DBM. Nasaan ang kurapsyon dun.,Neutral
"UPM CAS SC: Sapagkakahalal ni President Duterte at pagkakatatag ng NTF-ELCAC, lalo pa pong tumitindi ang red-tagging sa ating mga estudyante. #NoToRedTagging #DefundNTFELCAC #GASC51",Neutral
"In today's episode of early campaigning and data breach, I received a text encouraging me to get vaccinated while bearing the names of President Duterte and Mayor Sara. The text also contained a link that redirects to the official FB page of Mayor Sara. Yikes. 🤮😒  https://t.co/0Lf11UzWOH",Positive
Manifest 2022:  President: Leni Robredo VP: Diokno  Duterte: nasa kulungan.,Neutral
"Congratulations President Duterte! Congratulations Sec Roque! And special thanks to Duque!   you guys did! 2M covid cases!   A job well done!   best government, ever!",Positive
If I were parehong tumakbo ang mag amang duterte para kapag manalo ang mga ito isang sampal sa pagmumukha ng mga kritiko nila.,Neutral
"DESPERADO KAYA MAY WORD WAR!  The word war between President Rodrigo Duterte and several senators will only stop after Election Day, Malacañang said Wednesday.   https://t.co/JwipilvEjX  https://t.co/tnFakRrlbP",Negative
Harry Roque admitted that he too felt hurt when his boss President Rodrigo Duterte dissed Senator Dick Gordon for his weight. #AbogadoNews  https://t.co/RQT2CRYfHL,Negative
Presidential Spokesperson Harry Roque has apparently disagreed with his boss President Duterte on the need to publicly discuss a “weighty” issue.  READ MORE:  https://t.co/AmwFZHeNmL  #NowYouKnow #NYK  https://t.co/UWY2d6WcVK,Negative
@GregGAndres1 I know supporters ka ni Senator Manny Pacquiao kahit anong gawin mo hindi ko ipagpapalit si PRRD manalo man matalo. Sorry....,Positive
@News5PH Nakipag pulong sila kay Madumb Leni Robredo pero si Leni parin ang masusunod. Siya parin ang tatakbong presidente sa 2022. Kaya useless lang yang usapan eh pareho pa naman silang tatlong nag aambisyon.,Negative
"WAG GANON, MR PRESIDENT!  President Rodrigo Duterte should have not body shamed Senator Dick Gordon, according to Presidential Spokesperson Harry Roque.   https://t.co/jDotl2CLWw  https://t.co/1kk3gsZ7yl",Negative
@GregGAndres1 Pwede ko pang sabihin yan ay oo nga napaka mahal namn niyan kung nasa panahon tayo ng walang pandemic pero that time na mabili yan walang stock at supply kaya mahal. Hay naku. Akala ko ba alam mo ang law of demand and supply.,Negative
"Pharmally International Holding Company executives and a business associate of Michael Yang — a former economic adviser to President Duterte — are wanted in Taiwan for financial crimes, Sen. Risa Hontiveros said.  #MichaelYang  https://t.co/eoEK5QfVgC",Neutral
@GregGAndres1 Nasa panahon po tayo ng pandemic ng binili yang sinasabi mong googles ikumpara mo sa panahon ng Pnoy administration walang pandemic pero nakabili ng napaka mahal na presyo ng PPE. Nililihis mo lang ang isyu. Kaya pwede ba enough na. Common sense naman nasa panahon ng pandemic.,Negative
"Sen. Bong Go has drawn criticisms for his continued loyalty to President Rodrigo Duterte in the face of controversies, with many people reminding him to perform his legislative functions instead of serving the country's leader.  READ:  https://t.co/nR0DvnkED4  https://t.co/VLpUrodVuz",Positive
To @iampinglacson @DickGordonDG @SenLeiladeLima @risahontiveros @BigManDrilon @ChelDiokno @lenirobredo @kikopangilinan @bamaquino paki explain po ang pagkakaiba ng presyuhan sa panahon na may pandemic at wala.,Negative
@teddycasino Ahahahahahhaahahaahaah.. bring it on... sara duterte for president!!!!,Neutral
Sen. Richard Gordon affirms there may be some ethical issues over Sen. Bong Go's alleged links to President Rodrigo Duterte's former appointees who were implicated in the alleged overpricing of pandemic response supplies.  https://t.co/th5QBFKhsX,Positive
@GregGAndres1 So what? Kung ayaw mong mag face shield at gusto mong gumaya sa bansang sinasabi mo go ahead wala nang pumipilit sa inyo. Basta ako mag face shield ako. For may protection.,Neutral
@GregGAndres1 Logic na lang kaya pairalin at huwag tayo ikumpara sa ibang bansa. Malaki naman talaga tulong ng face shield kasi naproportektahan ang mga mata mo sa posibleng mapasukan ng virus.,Neutral
@GregGAndres1 Mahal talaga ang face shield sa panahon ng pandemic. Bumili nga ako noong magsimula ang pandemic. Alam mo magkano ang presyo bawat isa ha nasa 100 peso I compare mo sa ngayon na mabibili muna lang sa halagang 20 minsan nasa 15 o 10 na lang. Kasi over supply kaya nagmura.,Positive
President Duterte is ignoring the move made by the PDP-Laban faction headed by Senator Manny Pacquiao to boot him out as party chairman stressing that only the Supreme Court could rule out a decision to settle the issue over party legitimacy.   https://t.co/k5jvLWG55w,Positive
"Presidential spokesperson Harry Roque appealed to President Rodrigo Duterte to refrain from calling on Senator Richard Gordon to lose weigh, amid the ongoing Senate probe over the alleged overpriced COVID-19 supplies bought by the government from new firm Pharmally.  https://t.co/vEoZJ6GidN",Negative
@chrgovph Wala po kaming balita mula sa inyo kung ano na ang nangyari sa kaso ng mga biktima ng CPP NPA NDF. Kapag mga pulis at militar ang may gawa may Aksiyon agad kayo at may pa presscon pa.,Negative
@chrgovph Nag iingay na naman kayo pero yung mga biktima ng CPP NPA NDF hanggang ngayon wala paring resolusyon sa kaso kung anong gagawin niyo sa mga CPP NPA NDF na pumatay sa mga sibilyan. Mabagal kayo magbigay ng hustisya pero kapag mga government forces ang gumawa may presscon agad.,Negative
"Presidential Spokesperson Harry Roque on Wednesday denied allegations that the controversial awarding of gov't contracts worth over P8 billion to Pharmally Pharmaceutical Corporation has something to do with the influence of Michael Yang, President Duterte's former adviser.  https://t.co/ewr50Od5ko",Neutral
yo my class president must rlly like duterte shes been absent for like 2 days,Positive
"WALANG LABASAN NG SALN?  Malacañang seemed determined not to release the statement of assets, liabilities and net worth (SALN) of President Rodrigo Duterte.   https://t.co/RrAaVFw3TQ  https://t.co/tG0yo83rfo",Positive
I don't care kung ihahayag niya ang kanyang pagtakbo sa 2022. Hindi na kami magugulat sapagkat alam na namin yan noon pa kahit hindi pa niya sabihin. There is nothing new. Sorry I'm not interested.,Negative
"Patuloy ang paninira kay Duterte well, DDS remains solid and strong to protect the President.",Positive
Ang supply ng PPE at ibang medical use kulang sa panahon ng pandemic kaya tumaas ang presyo kasi maraming nangangailangan. Pero noong 2015 at 2016 na walang pandemiya ang mahal ng presyo samantalang over supply naman yun at hindi masyado kinakailangan ng mga frontliner.,Neutral
"@rapplerdotcom Another good excuse for Mr. Duterte to run as vice-president. As it stands now, many of his shady transactions are coming out and more are expected when he steps down.",Positive
"Sen. Richard Gordon also says mocking someone's appearance can be considered as an act of ""bullying"", following President Rodrigo Duterte's tirades against him and Sen. Ping Lacson.  https://t.co/EfCx15XRxA",Negative
Ang nangyayaring imbestigasyon sa senado ay hindi in aid of legislation kungdi in aid of politics. Ngayon lang mag iimbestiga sa panahon ng election bakit hindi ginawa yan bago mag election. Galawang trapo ang ginagawa ng mga Senador na nag aambisyong maging Pangulo.,Negative
@nuelleduterte's podcast interview was so cringey. I hated how the host kept on badgering her about her connections to the president and her name.   She is not just a Duterte! She is a FILIPINO. She is making a stand for what is good for the country. #GiveBackHerName,Negative
Tandaan yung mga maiingay ngayon ay yaong mga nag a ambisyon na maluklok sa sentro ng kapangyarihan ito ay sina. 1) Panfilo Lacson 2) Richard Gordon 3) Manny Pacquiao 4) Isko Moreno Domagoso 5) Leni Robredo At iba pa.,Negative
@certifiedsonny Hoy! Ang ka22hanan nyan ng maupo c PRRD tambak na tlga ang mga corrupted nililinis nya lng ang mga dating mga corrupt pa nong panhon pa ng mga nagdaang admnstrsyon. Hindi c Mr.President Duterte ang corrupt sya ang tagalinis ng mga crpt kya bkt km mgglit sa knya di nman sya ksbwt.,Neutral
Atty. Ted Te comments on Senator Bong Go's declaration of love for President Duterte during legislative proceedings on Tuesday.  #NowYouKnow #NYK  https://t.co/cJNBP6sTRF,Positive
Dalawang magkasunod na taon nabili ang PPE doble sa halaga ng kasalukuyang administrasyon na wala namang pandemic. Ang mahal ha double ang price. My gosh..,Positive
"YES, RODRIGO DUTERTE CAN BE PRESIDENT AGAIN  If the President gives way to a VP Rodrigo Duterte, can he legally assume the Presidency? Yes, says DOJ Sec. Menardo Guevarra    https://t.co/ZMnpldSooo  https://t.co/cDjvviGaah",Positive
"Can President Duterte release his SALN to the public like some officials have?  ""Well, he could, but he respects the ombudsman and he leaves it to the ombudsman,"" the Palace said   https://t.co/gLUVLPFDa4",Positive
"The Philippines is being run by a group of chinese mafia mostly form davao and their godfather is the president himself , don rodrigo duterte.",Neutral
"#ICYMI: CHED chairperson Prospero De Vera III said in a virtual briefing that they hope President Rodrigo Duterte would approve their proposal since these courses would need more hands-on experience such as on the job training, to complete their degrees. #PressOnePH  https://t.co/BoHYUzT4Gy",Positive
#NSTregion Philippine President Rodrigo Duterte said he will step down if anyone can name a country that was prepared for the #Covid19 pandemic.   https://t.co/BcYEjMVFW3,Positive
"President Duterte lifted the moratorium on new mining agreements in a supposed bid to resuscitate the country’s economy. This did not sit well for environmental advocates, who cited the extensively documented destructive impacts of mining. #GASC51    https://t.co/WS9UnydkzE",Negative
#NewsBreak: The Philippine Normal University  (@pnu_system) drew flak for inviting President Rodrigo Duterte as one of its speakers for its 120th Founding Anniversary on Wednesday.   Read the full article HERE:  https://t.co/Xlu9x9n68h  https://t.co/WmZTV5cG9q,Positive
President Duterte approved the recommendation of the IATF-EID to extend the country’s travel restrictions to 10 countries from Sep. 1 to Sep. 5.  https://t.co/jiFxxlGqqT,Positive
"@forthenationPH @gmanews pero na nalo sya as vice president diba, hahahaha 16m lang bumuto kay duterte wala halos kalahati sa populasyon nag pinas, malamang kukunti na yan, unless mandaya si mang kanor which is na sa personality nya",Negative
"#ICYMI: In a meeting with President Rodrigo Duterte aired on Tuesday, Galvez said most of the expected doses for September would come from the Chinese firm Sinovac. #PressOnePH  Story here:  https://t.co/ztjfMzz8lN  https://t.co/Vz4mGqDEOE",Neutral
Senator Christopher “Bong” Go maintained that it is the prerogative of President Rodrigo Duterte to choose his appointees after issues were raised by some senators regarding the qualifications of some officials.   https://t.co/GmHHgI5L7H  https://t.co/ZheTL6dUUl,Neutral
"Malacañang seemed determined not to release the statement of assets, liabilities and net worth (SALN) of President Rodrigo Duterte.  https://t.co/cYjxYshNg8 #PolitikoNews @RRD_Davao  @attyharryroque  @OmbudsmanPh  @pr1ncegolez",Positive
UNTVNewsRescue: RT President Rodrigo Duterte has approved the extension of travel restrictions on travelers coming from 10 countries as recommended by the Inter-Agency Task Force.  STORY:  https://t.co/H4sXnAviwc,Positive
"It already 5 years in the making to destabilize Duterte but he remains stronger. Again, we will stand behind the President and we're ready to protect him.",Positive
"Presidential Spokesperson Harry Roque thinks President Rodrigo Duterte was wrong to call Senator Dick Gordon fat, saying he’s overweight himself.  https://t.co/Ur7j6fDbcW",Negative
President Rodrigo R. Duterte: Save the Nation! Duterte Resign! - Sign the Petition!  https://t.co/GZVFrOR08C via @ChangePilipinas,Positive
"President Rodrigo Duterte should have not body shamed Senator Dick Gordon, according to Presidential Spokesperson Harry Roque.  https://t.co/rTTRVwahdW #PolitikoNews @RRD_Davao  @attyharryroque  @pr1ncegolez",Negative
"Meanwhile, posters of Davao City Mayor Sara Duterte were seen in various areas in the country urging her to run as president  Critics have pointed out that a Duterte-Duterte tandem might be seen in the coming elections. #GASC51",Negative
"Executives of Pharmally International Holding Company and a business associate of Michael Yang, a former economic adviser of President Rodrigo Duterte, are on the run from the Taiwan government, opposition senator Risa Hontiveros said on Wednesday, September 1.  https://t.co/SGfHPFJULe",Neutral
"A week after, President Rodrigo Duterte accepted the party’s nomination for him to run as vice president under the party’s banner. #GASC51  READ:  https://t.co/cnVAWoJVko",Positive
"For publicity, attack some one who is popular. So they attack President Duterte. 🥂",Negative
"Sa kabila ng mga bwelta ng pangulo, itinuturing pa rin ni Senator Richard Gordon na kaibigan si President Rodrigo Duterte. #FrontlineSaUmaga    https://t.co/yOd12Prces",Neutral
"almost 2M cases yet we still have duque as doh sec, herbosa sa iatf and duterte as president. haha im leaving ph who's coming w me?",Positive
"""oligarchies breakup""  &gt;live in Davao City &gt;one councillor: Duterte &gt;Vice Mayor: Duterte &gt;Mayor: Duterte &gt;President: Duterte",Neutral
Senator Manny Pacquiao urges President Rodrigo Duterte to not get angry with lawmakers for investigating government officials mired with corruption allegations.  Related story:  https://t.co/08QmmSWANz  https://t.co/ZWXcltwbLr,Positive
"'MR. PRESIDENT, 'WAG MO NA SITAHIN ANG KATABAAN'  Presidential spokesperson Harry Roque agreed that President Rodrigo Duterte should not criticize Senator Richard Gordon for being overweight.  https://t.co/ebMpWLqENj",Neutral
"“I’m a Duterte, but I’m not his kind of Duterte.”  Here’s our 1-on-1 interview w/ @nuelleduterte on why she’s speaking up vs her uncle, President Duterte, and why voters shouldn’t go for another Duterte or his candidate in 2022.   Watch our #FactsFirst ep:  https://t.co/j6JqNp6V3z",Neutral
"“MR. PRESIDENT, ‘WAG MO NANG SITAHIN ANG KATABAAN”  Ito ang naging reaksyon ni Presidential Spokesperson Sec. Harry Roque matapos ang pambabatikos ni Pres. Rodrigo Duterte kay Sen. Richard Gordon.  https://t.co/Uqz6ETL3bW",Neutral
GMA News Online's Ted Cordero broke the news that President Duterte has given the go-signal for the plans of Macau-based Galaxy Entertainment Group  #megaworld #OpinYon #WeTakeAStand     https://t.co/azUhsvrLp4,Neutral
Lord tawang tawa ako kay Duterte hahahahaha omg President Rodrigo Duterte best comedian hahahahahaplslanglordhahahahaha,Positive
"Following President Duterte's comments on Senator Richard Gordon, Presidential Spokesperson Harry Roque on Wednesday asked the President lightheartedly not to body shame: ""Dahil mea culpa, mataba rin ako…""  https://t.co/gXLOt1ADkd",Positive
"The word war between President Rodrigo Duterte and several senators will only stop after Election Day, Malacañang said Wednesday.  https://t.co/7tHESmIE10 #PolitikoNews @RRD_Davao  @attyharryroque  @pr1ncegolez",Negative
"Will President Duterte release his SALN? Roque says ""he could, but he respects the decision of the Ombudsman""   Ombudsman requires consent of SALN owner before it grants a request for SALN copy @gmanews",Positive
PCOO Sec. #MartinAndanar appealed to SurSurnons to help with the government's initiatives launched under the remainder of the President Rodrigo Roa Duterte's term.   #InformInformInform #DuterteLegacy  https://t.co/ONwmpv7hOW,Positive
"Justice Secretary Menardo Guevarra, a guest speaker of the Rotary Clubs of Makati, Cebu and Davao, said during the virtual open forum that President Duterte would not be violating the Constitution if he seeks the VP post after his term.   https://t.co/zvU1jVEwAv",Positive
@jmnpunzalan What if Senate probe on pandemic deals leads to President Duterte? Will he cooperate?  Roque: Wala pong ebidensiya ng overpricing. Kung meron po… hindi na kinakailangan ang Senate investigation. Sisibakin na po ‘yan ni Presidente | via @jmnpunzalan,Negative
@jmnpunzalan @pia_gutierrez What if Senate probe on pandemic deals leads to President Duterte? Will he cooperate?  Roque: Wala pong ebidensya ng overpricing. Kung meron po… hindi na kinakailangan ang Senate investigation. Sisibakin na po ‘yan ni Presidente. | via @jmnpunzalan,Negative
@Elliott00551 @iamkarendavila Karma is real...god bless president duterte ..mag ingat ka sa pananalita mo baka mauna kapang maka wheel chair.,Positive
What of Senate probe on pandemic deals leads to President Duterte? Will he cooperate?  Roque: Wala pong ebidensya ng overpricing. Kung meron po… hindi na kinakailangan ang Senate investigation. Sisibakin na po ‘yan ni Presidente.,Negative
@lilalesid_0908 @iamkarendavila Vote duterte the best president in history,Positive
"$PSEI - “Not my call.” Thus said Finance Secretary Carlos G. Dominguez III when asked if he was behind President Duterte’s shift in policy to allow casinos on Boracay Island, supposedly to raise more government revenues.       https://t.co/1OIUhJyt6c  https://t.co/EU6a3RevPk  …",Positive
LOOK | President Rodrigo Duterte discusses matters with Chief of Presidential Protocol and Presidential Assistant on Foreign Affairs Undersecretary Robert Borje following the phone call with People's Republic of China President Xi Jinping at the Malacañang Golf.   #DuterteLegacy  https://t.co/SwWTvMF0ud,Neutral
"school au, where president duterte is the cold and intimidating student council president and Bong Go is his right hand man that loved him since the very first time they met bcs the president recruited him in the SC and changed his life for the better.",Positive
"@jmnpunzalan Can President Duterte just release his SALN for sake of transparency?  Roque: He could, but he respects the Ombudsman, and he leaves it to the Ombudsman | via @jmnpunzalan   https://t.co/noqAzuGTY7",Positive
@ANCALERTS @jmnpunzalan Sounds like @MannyPacquiao has emboldened lawmakers to challenge and investigate members of the Duterte Administration.  What is the President afraid they will find?,Positive
"@jmnpunzalan @pia_gutierrez Can President Duterte just release his SALN for sake of transparency?  Roque: He could, but he respects the Ombudsman, and he leaves it to the Ombudsman. | via @jmnpunzalan   Related:  https://t.co/6YYEqdgJXI",Positive
"Can President Duterte just release his SALN for sake of transparency?  Roque: He could, but he respects the Ombudsman, and he leaves it to the Ombudsman.    https://t.co/TkmuNkSHJZ",Positive
"“Not my call.” Thus said Finance Secretary Carlos G. Dominguez III when asked if he was behind President Duterte’s shift in policy to allow casinos on Boracay Island, supposedly to raise more government revenues.   https://t.co/MehineGCDj",Positive
"@argyllcyrus_MB Roque agrees that President Duterte should not have called out Senator Gordon for being fat, saying he is fat himself. | @argyllcyrus_MB",Positive
"Roque on Pacquiao-led PDP-Laban's decision to oust President Duterte as chairman: Sa pananaw po ni Presidente, nananatili siyang chairman. @azereraser_PNA",Negative
"Zubiri said the delay in the project construction has angered President Duterte, which prompted him to push for the passage of RA 11032 or the Ease of Doing Business and Efficient Government Service Delivery Act of 2018. #SenatePH 2/3 @migzzubiri",Negative
Roque on Duterte's ouster as chairman of PDP-Laban by Pimentel-Pacquiao faction: Sa pananaw ng President nanantili syang chairman. @PhilippineStar,Neutral
"Roque on Pacquiao-led PDP-Laban's decision to oust President Duterte as chairman: Sa pananaw po ni Presidente, nananatili siyang chairman. @pnagovph",Negative
